CIDADE,DATA_COMUNICACAO_BO,FLAG_STATUS,VIOLENCIA_DOMESTICA,RUBRICA,DESCR_SUBTIPOLOCAL,DESCR_RELACIONAMENTO,IDADE_PESSOA,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,34,RECEPCIONISTA                 ,2 Grau completo                         
MONTE AZUL PAULISTA                     ,2020-03-01,Consumado,,Art. 213 - Estupro,CASA,,46,,
GUARIBA                                 ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,UNIAO ESTAVEL                           ,38,FAXINEIRO(A)                  ,2 Grau completo                         
ITUVERAVA                               ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA-JARDIM/QUINTAL,UNIAO ESTAVEL                           ,26,DESEMPREGADO                  ,2 Grau completo                         
BARRETOS                                ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,48,NAO INFORMADA                 ,
S.JOAQUIM DA BARRA                      ,2020-03-01,Consumado,,Ameaça (art. 147),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,,37,AUTONOMO(A)                   ,
JARDINOPOLIS                            ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Dano (art. 163),CASA,CASAMENTO                               ,39,COSTUREIRO(A)                 ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Injúria (art. 140),MERCADO,,36,VIGILANTE                     ,2 Grau completo                         
JARDINOPOLIS                            ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,29,PRENDAS DOMESTICAS            ,1 Grau completo                         
SERTAOZINHO                             ,2020-03-01,Consumado,,Injúria (art. 140),CASA,,61,APOSENTADO(A)                 ,2 Grau completo                         
CRAVINHOS                               ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,UNIAO ESTAVEL                           ,30,FAXINEIRO(A)                  ,
FRANCA                                  ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,UNIAO ESTAVEL                           ,57,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
FRANCA                                  ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,24,PANFLETEIRO                   ,1 Grau incompleto                       
JARDINOPOLIS                            ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,CASAMENTO                               ,29,PRENDAS DOMESTICAS            ,1 Grau completo                         
FRANCA                                  ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,20,,1 Grau completo                         
FRANCA                                  ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,43,,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Injúria (art. 140),CASA,,34,RECEPCIONISTA                 ,2 Grau completo                         
JARDINOPOLIS                            ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,39,COSTUREIRO(A)                 ,2 Grau completo                         
IBITINGA                                ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,UNIAO ESTAVEL                           ,42,OVERLOQUISTA                  ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),VIA PÚBLICA,CASAMENTO                               ,45,COZINHEIRO(A)                 ,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Ameaça (art. 147),MERCADO,,36,VIGILANTE                     ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),VIA PÚBLICA,CASAMENTO                               ,22,NAO INFORMADA                 ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,CASAMENTO                               ,22,NAO INFORMADA                 ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,26,,
BARRETOS                                ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,25,,2 Grau completo                         
BARRETOS                                ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,UNIAO ESTAVEL                           ,25,,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Art. 215A - Importunação Sexual,VIA PÚBLICA,,32,,Superior incompleto                     
IBITINGA                                ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,PARENTESCO                              ,24,ESTUDANTE                     ,Superior incompleto                     
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Ameaça (art. 147),APARTAMENTO,,22,AUTONOMO(A)                   ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,UNIAO ESTAVEL                           ,22,FAXINEIRO(A)                  ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,ENVOLVIMENTO AMOROSO                    ,32,AUXILIAR DE COZINHA           ,
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Estupro de vulneravel (art.217-A),CASA,,9,ESTUDANTE                     ,
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,PARENTESCO                              ,55,PRENDAS DOMESTICAS            ,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,55,PRENDAS DOMESTICAS            ,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,60,PORTEIRO(A)                   ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Difamação (art. 139),VIA PÚBLICA,CASAMENTO                               ,45,COZINHEIRO(A)                 ,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,UNIAO ESTAVEL                           ,22,FAXINEIRO(A)                  ,2 Grau completo                         
SERTAOZINHO                             ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,61,APOSENTADO(A)                 ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-01,Consumado,,Art. 215A - Importunação Sexual,APARTAMENTOS,,14,ESTUDANTE                     ,
